date,AR6Cprice,AR6Cprice_lwr,AR6Cprice_upr
2020,74.48,44.72,110.00
2021,85.44,54.28,119.64
2022,96.40,63.83,129.28
2023,107.36,73.38,138.92
2024,118.31,82.93,148.56
2025,129.27,92.49,158.20
2026,140.23,102.04,167.85
2027,151.19,111.59,177.49
2028,162.15,121.15,187.13
2029,173.11,130.70,196.77
2030,184.07,140.25,206.41
2031,195.21,150.15,219.34
2032,206.36,160.04,232.28
2033,217.51,169.94,245.21
2034,228.66,179.83,258.14
2035,239.80,189.73,271.08
2036,253.82,194.30,288.15
2037,267.84,198.88,305.22
2038,281.85,203.45,322.29
2039,295.87,208.03,339.37
2040,309.89,212.60,356.44
2041,325.74,224.47,380.25
2042,341.60,236.34,404.07
2043,357.46,248.20,427.88
2044,373.32,260.07,451.70
2045,389.18,271.93,475.51
2046,402.56,285.27,503.15
2047,415.93,298.61,530.78
2048,429.31,311.95,558.41
2049,442.69,325.29,586.05
2050,456.06,338.63,613.68
