iso3c,date,gdp
AFG,1960,13033254000
AFG,1961,13146287000
AFG,1962,13367634000
AFG,1963,13630298000
AFG,1964,13870504000
AFG,1965,14187420000
AFG,1966,14325264000
AFG,1967,14734026000
AFG,1968,15254250000
AFG,1969,15493194000
AFG,1970,15812232000
AFG,1971,15770513000
AFG,1972,13170553000
AFG,1973,13568631000
AFG,1974,14309108000
AFG,1975,15177768000
AFG,1976,16023605000
AFG,1977,15207360000
AFG,1978,16337830000
AFG,1979,15913788000
AFG,1980,15329836000
AFG,1981,15645344000
AFG,1982,15980410000
AFG,1983,16755333000
AFG,1984,17072153000
AFG,1985,17108480000
AFG,1986,17641344000
AFG,1987,15810816000
AFG,1988,14499069000
AFG,1989,13489497000
AFG,1990,13065984000
AFG,1991,12047361708.8
AFG,1992,12677538631.900002
AFG,1993,9834581108.1
AFG,1994,7919857155.6
AFG,1995,12307526078
AFG,1996,12070125458.3
AFG,1997,11850751938.900002
AFG,1998,11692172337.6
AFG,1999,11517317327.400002
AFG,2000,11283793214.7
AFG,2001,11021272774
AFG,2002,18804871760
AFG,2003,21074344026
AFG,2004,22332571931.4
AFG,2005,25397687313.5
AFG,2006,28704401076.4
AFG,2007,34507529622.9
AFG,2008,36561042624.4
AFG,2009,44358719970.4
AFG,2010,47399424663.6
AFG,2011,53326336000
AFG,2012,59166900000
AFG,2013,62993700000
AFG,2014,64346106000
AFG,2015,62783392000
AFG,2016,64297428000
AFG,2017,68752802575.6383
AFG,2018,67594970922.535
AGO,1960,9580295968
AGO,1961,10574288025
AGO,1962,10269759920
AGO,1963,10823089200
AGO,1964,12097687908
AGO,1965,13062976992
AGO,1966,13762507500
AGO,1967,14446282157
AGO,1968,14258773360
AGO,1969,14746072495
AGO,1970,15796654068
AGO,1971,15843643578
AGO,1972,16088033548
AGO,1973,17187187276
AGO,1974,16327890684
AGO,1975,10064128050
AGO,1976,9040011786
AGO,1977,9245571000
AGO,1978,9619385400
AGO,1979,9853037742
AGO,1980,10330398560
AGO,1981,10119853354
AGO,1982,9643454724
AGO,1983,9325809080
AGO,1984,9370042032
AGO,1985,9420208578
AGO,1986,8569986992
AGO,1987,9540737556
AGO,1988,10911810400
AGO,1989,11089227840
AGO,1990,11482502704
AGO,1991,12341160756.230078
AGO,1992,12363426492.04465
AGO,1993,9985482141.177265
AGO,1994,10760810637.925772
AGO,1995,13143744291.301691
AGO,1996,15819794260.307045
AGO,1997,17972223855.29833
AGO,1998,19904957168.025574
AGO,1999,21527383115.070454
AGO,2000,23512020960.498245
AGO,2001,26014777178.551853
AGO,2002,31389600498.19431
AGO,2003,35081185294.83909
AGO,2004,41307007339.74833
AGO,2005,51967275066.259285
AGO,2006,66748909511.44068
AGO,2007,87085292457.91489
AGO,2008,105591654302.99681
AGO,2009,115245903633.83313
AGO,2010,126981788094.58963
AGO,2011,140474320906.08
AGO,2012,149070694581.9
AGO,2013,160861181910.48
AGO,2014,170193270057.51
AGO,2015,176848738270.12003
AGO,2016,178333874549.32
AGO,2017,178066374505.67526
AGO,2018,175929578041.56714
ALB,1960,3754262682
ALB,1961,3909912820
ALB,1962,4163082033
ALB,1963,4433270065
ALB,1964,4719963584
ALB,1965,5029350840
ALB,1966,5354307510
ALB,1967,5706156560
ALB,1968,6073281342
ALB,1969,6468810040
ALB,1970,6888218728
ALB,1971,7337364518
ALB,1972,7811524854
ALB,1973,8317288493
ALB,1974,8539399588
ALB,1975,8761643092
ALB,1976,8996929960
ALB,1977,9235805688
ALB,1978,9474237696
ALB,1979,9727295164
ALB,1980,9993752292
ALB,1981,10248711264
ALB,1982,10517106951
ALB,1983,10795983575
ALB,1984,11080088348
ALB,1985,11371456662
ALB,1986,11669745060
ALB,1987,11975299974
ALB,1988,12296424560
ALB,1989,12617018400
ALB,1990,12947848774
ALB,1991,9375844364.23577
ALB,1992,8745680481.70104
ALB,1993,9636359518.257141
