iso3c,date,gdp
AFG,1960,4360055448.03031
AFG,1961,4397868732.990244
AFG,1962,4471916640.999645
AFG,1963,4559786454.954122
AFG,1964,4640143323.541933
AFG,1965,4746162229.669902
AFG,1966,4792275616.486294
AFG,1967,4929020053.834616
AFG,1968,5103052224.572339
AFG,1969,5182986912.331371
AFG,1970,5289715697.792677
AFG,1971,5275759309.523379
AFG,1972,4405986514.282767
AFG,1973,4539156799.511691
AFG,1974,4786870898.998368
AFG,1975,5077466460.589205
AFG,1976,5360426972.215511
AFG,1977,5087365965.41111
AFG,1978,5465545649.650734
AFG,1979,5323689545.84936
AFG,1980,5128338246.857704
AFG,1981,5233886130.317748
AFG,1982,5345976813.024441
AFG,1983,5605214241.218043
AFG,1984,5711201032.164107
AFG,1985,5723353617.716465
AFG,1986,5901614287.404881
AFG,1987,5289241998.859593
AFG,1988,4850419149.724034
AFG,1989,4512683853.628458
AFG,1990,4371004717.860702
AFG,1991,4030241799.388332
AFG,1992,4241056867.2743053
AFG,1993,3289993346.2101917
AFG,1994,2649454720.892849
AFG,1995,4117275403.990362
AFG,1996,4037857028.0967627
AFG,1997,3964469314.7587476
AFG,1998,3911419182.0294576
AFG,1999,3852924385.577405
AFG,2000,3774802829.7614837
AFG,2001,3686981041.1511064
AFG,2002,6290852888.058447
AFG,2003,7050066582.31523
AFG,2004,7470985520.425624
AFG,2005,8496368208.476253
AFG,2006,9602573562.64252
AFG,2007,11543912405.174673
AFG,2008,12230880567.522398
AFG,2009,14839462092.474634
AFG,2010,15856678596
AFG,2011,17839426884.51363
AFG,2012,19793289127.033398
AFG,2013,21073480565.68121
AFG,2014,21525905197.95254
AFG,2015,21003125569.05762
AFG,2016,21509620793.52835
AFG,2017,23000091261.72666
AFG,2018,22612758197.626553
AGO,1960,6163922716.725706
AGO,1961,6803453086.231217
AGO,1962,6607520965.703757
AGO,1963,6963530730.977584
AGO,1964,7783602256.658286
AGO,1965,8404665252.305702
AGO,1966,8854740281.689583
AGO,1967,9294678061.846024
AGO,1968,9174035679.055893
AGO,1969,9487561922.723118
AGO,1970,10163501752.266817
AGO,1971,10193734608.235386
AGO,1972,10350974101.968626
AGO,1973,11058165054.714039
AGO,1974,10505297189.094275
AGO,1975,6475218272.8632145
AGO,1976,5816306113.434836
AGO,1977,5948562059.706128
AGO,1978,6189072695.253875
AGO,1979,6339403643.637991
AGO,1980,6646535615.34045
AGO,1981,6511071702.48265
AGO,1982,6204558798.551245
AGO,1983,6000186907.801682
AGO,1984,6028646205.778628
AGO,1985,6060923153.541195
AGO,1986,5513894109.167108
AGO,1987,6138470998.409398
AGO,1988,7020613583.319706
AGO,1989,7134763228.843404
AGO,1990,7387794646.267648
AGO,1991,7940251678.046108
AGO,1992,7954577360.180613
AGO,1993,6424617821.103769
AGO,1994,6923460962.275596
AGO,1995,8456630597.90642
AGO,1996,10178390056.084072
AGO,1997,11563254335.959677
AGO,1998,12806766938.439224
AGO,1999,13850629068.022562
AGO,2000,15127536831.704079
AGO,2001,16737799808.79952
AGO,2002,20195938854.71122
AGO,2003,22571089211.731796
AGO,2004,26576757310.200687
AGO,2005,33435529380.00933
AGO,2006,42945971714.07949
AGO,2007,56030316210.1686
AGO,2008,67937232714.82229
AGO,2009,74148736718.66977
AGO,2010,81699556137
AGO,2011,90380595823.11258
AGO,2012,95911467015.28009
AGO,2013,103497417692.44615
AGO,2014,109501644525.94904
AGO,2015,113783745187.8889
AGO,2016,114739275714.22871
AGO,2017,114567167294.90073
AGO,2018,113192361306.63803
ALB,1960,1622449715.9275863
ALB,1961,1689715792.80414
ALB,1962,1799125909.3851783
ALB,1963,1915890913.0348172
ALB,1964,2039788961.1628811
ALB,1965,2173494380.3429275
ALB,1966,2313928308.8099165
ALB,1967,2465984102.3373365
ALB,1968,2624641486.9475584
ALB,1969,2795573965.0578656
ALB,1970,2976826467.703913
ALB,1971,3170930216.194779
ALB,1972,3375844301.2255845
ALB,1973,3594416133.281009
ALB,1974,3690404111.084187
ALB,1975,3786449311.027272
ALB,1976,3888131357.405744
ALB,1977,3991364372.744226
ALB,1978,4094405629.154542
ALB,1979,4203767453.7914987
ALB,1980,4318920102.460232
ALB,1981,4429103684.892514
ALB,1982,4545094105.119945
ALB,1983,4665613988.17368
ALB,1984,4788393278.620656
ALB,1985,4914311595.563722
ALB,1986,5043220509.9345665
ALB,1987,5175269736.483487
ALB,1988,5314047583.81715
ALB,1989,5452596062.891352
ALB,1990,5595568383.09953
ALB,1991,4051883768.8874283
ALB,1992,3779550877.2364817
ALB,1993,4164468522.1236176
ALB,1994,4579243753.214758
ALB,1995,5013396676.74904
ALB,1996,5500290591.0935545
ALB,1997,4925137855.351123
ALB,1998,5387637314.752155
ALB,1999,6115895527.219032
ALB,2000,6575027088.493926
ALB,2001,7158264375.325469
ALB,2002,7523104550.061948
ALB,2003,7980085994.296039
ALB,2004,8465138467.084145
ALB,2005,8980791595.642796
ALB,2006,9561275582.15511
ALB,2007,10188066756.07686
ALB,2008,11010164590.091717
ALB,2009,11439929155.610937
ALB,2010,11926922829
ALB,2011,12296154743.93455
ALB,2012,12470197970.102636
ALB,2013,12594343420.381031
ALB,2014,12824684575.111668
ALB,2015,13156970232.382166
ALB,2016,13605247517.858486
ALB,2017,14122519025.538975
ALB,2018,14697446735.200138
ARE,1960,2081612001.2522902
ARE,1961,2274952601.9267173
ARE,1962,2529247014.9210587
ARE,1963,2788616943.1470575
ARE,1964,3074561863.386874
ARE,1965,3387879594.7273574
ARE,1966,3733815551.543
ARE,1967,4115293445.963803
ARE,1968,4535487222.589753
ARE,1969,5001537403.176619
ARE,1970,5513086387.112909
ARE,1971,6436076294.357942
ARE,1972,7512471054.293578
ARE,1973,8769789311.568808
ARE,1974,11610382821.82192
ARE,1975,11982903213.290167
ARE,1976,13784689194.851452
ARE,1977,16188412414.896362
ARE,1978,15809094025.697302
ARE,1979,19743751200.581566
ARE,1980,24958500313.267612
ARE,1981,25656475627.736046
ARE,1982,23542539333.999588
ARE,1983,22360839037.6132
ARE,1984,23316347805.414368
ARE,1985,22770376808.514107
ARE,1986,17936693596.309494
ARE,1987,18577198548.070423
ARE,1988,18531541921.874268
ARE,1989,20499430175.053963
ARE,1990,22959123727.268383
ARE,1991,0
ARE,1992,0
ARE,1993,31339757807.717472
ARE,1994,36681874131.653534
ARE,1995,42570779632.441444
ARE,1996,48772743820.1672
ARE,1997,57531522598.11218
ARE,1998,62966454417.3618
ARE,1999,70913350057.49132
ARE,2000,86452697933.77603
ARE,2001,95531642558.51556
ARE,2002,106147884098.09808
ARE,2003,125296388052.70468
ARE,2004,149048171706.5292
ARE,2005,169828557437.29385
ARE,2006,202855265830.1486
ARE,2007,227685053938.72217
ARE,2008,255462003551.79062
ARE,2009,262950302077.0099
ARE,2010,290000000000
ARE,2011,329681637073.13586
ARE,2012,352066665247.609
ARE,2013,367397007285.6983
ARE,2014,377456988260.3284
ARE,2015,390663955859.56757
ARE,2016,400769032888.40247
ARE,2017,410281490572.7026
ARE,2018,415163247851.9987
ARG,1960,98671363025.40201
ARG,1961,105738400927.87048
ARG,1962,104028708402.82076
ARG,1963,101521215894.64183
ARG,1964,111987952245.54228
ARG,1965,122224799303.3926
ARG,1966,123061817707.70499
ARG,1967,126353721134.27287
ARG,1968,131732076577.15894
ARG,1969,142985828817.83908
ARG,1970,150642738038.90494
ARG,1971,157957013119.75204
ARG,1972,162889148609.1356
ARG,1973,172810266421.50168
ARG,1974,184017269912.50204
ARG,1975,182380453352.03308
ARG,1976,181940302542.37778
ARG,1977,192914163531.81604
ARG,1978,184438766990.67212
ARG,1979,197639550792.77368
ARG,1980,200432340846.5987
ARG,1981,188930142639.1114
ARG,1982,182977564642.08945
ARG,1983,189429553157.33167
ARG,1984,193284913235.41425
ARG,1985,180498304158.35364
ARG,1986,193711798500.44128
ARG,1987,198712898454.66534
ARG,1988,194946811112.50143
ARG,1989,182847551545.2068
ARG,1990,182971970985.01968
ARG,1991,203122729027.69983
ARG,1992,225064105081.5293
ARG,1993,240242173988.86063
ARG,1994,255445155823.64334
ARG,1995,249327707510.53683
ARG,1996,264346454706.0027
ARG,1997,287097004733.073
ARG,1998,299542079528.45496
ARG,1999,290739766420.99567
ARG,2000,289773164686.69684
ARG,2001,278289995165.9761
ARG,2002,249112954252.0271
ARG,2003,272391559532.37302
ARG,2004,298359585292.04974
ARG,2005,326278006363.8707
ARG,2006,354167178771.1041
ARG,2007,387863957636.69476
ARG,2008,405461066476.47705
ARG,2009,383240935862.73315
ARG,2010,424000000000
ARG,2011,451538446376.3771
ARG,2012,446911797171.5334
ARG,2013,457660707019.3891
ARG,2014,446143022948.7507
ARG,2015,457957682680.83527
ARG,2016,447434743939.0228
ARG,2017,459376777129.3629
ARG,2018,447975045417.70496
ARM,1960,5188502949.670491
ARM,1961,5486601942.313215
ARM,1962,5634802785.120563
ARM,1963,5506221755.830453
ARM,1964,6218841705.527551
ARM,1965,6572430223.393069
ARM,1966,6890266799.136194
ARM,1967,7194894496.373913
ARM,1968,7616714735.923496
ARM,1969,7723677713.122685
ARM,1970,8316509967.079878
ARM,1971,8538079677.688352
ARM,1972,8587430868.665586
ARM,1973,9308700903.92718
ARM,1974,9579125480.364443
ARM,1975,9606763880.970123
ARM,1976,10056902787.91172
ARM,1977,10293671413.568468
ARM,1978,10553577655.511688
ARM,1979,10501900773.872189
ARM,1980,10946465316.369799
ARM,1981,11432727901.188835
ARM,1982,11940351832.735096
ARM,1983,12200517877.229858
ARM,1984,12792477886.249239
ARM,1985,13377235494.65598
ARM,1986,13451571650.482367
ARM,1987,12842152683.332764
ARM,1988,12366418319.009588
ARM,1989,13239037381.702148
ARM,1990,12348034000.196634
ARM,1991,10574184138.8777
ARM,1992,5967042676.807402
ARM,1993,4974407204.727874
ARM,1994,5083534371.851628
ARM,1995,5327047518.467131
ARM,1996,5432045594.742902
ARM,1997,5446805792.091385
ARM,1998,5613118164.293783
ARM,1999,5616422486.7826195
ARM,2000,5765483815.422266
ARM,2001,6120717717.210975
ARM,2002,6814321793.922297
ARM,2003,7536902505.235174
ARM,2004,8074769339.064534
ARM,2005,8935381928.39101
ARM,2006,9809496756.16149
ARM,2007,10820238715.623125
ARM,2008,11221924268.098734
ARM,2009,9343156082.196207
ARM,2010,9260284938
ARM,2011,9402051184.655312
ARM,2012,10073445481.488792
ARM,2013,10405395109.28799
ARM,2014,10781190834.965477
