date,GrublerLEDprice,SMP1p5C_sustPrice,SMP1p5C_earlyPrice,AvgCPrice
2020,55,100.9624,131.3183,95.76023333
2021,58.5,104.1787,135.50134,99.39334667
2022,62,107.395,139.68438,103.02646
2023,65.5,110.6113,143.86742,106.6595733
2024,69,113.8276,148.05046,110.2926867
2025,72.5,117.0439,152.2335,113.9258
2026,76,120.77266,157.0841,117.9522533
2027,79.5,124.50142,161.9347,121.9787067
2028,83,128.23018,166.7853,126.00516
2029,86.5,131.95894,171.6359,130.0316133
2030,90,135.6877,176.4865,134.0580667
2031,93.5,140.00994,182.11048,138.54014
2032,97,144.33218,187.73446,143.0222133
2033,100.5,148.65442,193.35844,147.5042867
2034,104,152.97666,198.98242,151.98636
2035,107.5,157.2989,204.6064,156.4684333
2036,111,162.30962,211.123,161.47754
2037,114.5,167.32034,217.6396,166.4866467
2038,118,172.33106,224.1562,171.4957533
2039,121.5,177.34178,230.6728,176.50486
2040,125,182.3525,237.1894,181.5139667
2041,128.5,188.16156,244.744,187.1351867
2042,132,193.97062,252.2986,192.7564067
2043,135.5,199.77968,259.8532,198.3776267
2044,139,205.58874,267.4078,203.9988467
2045,142.5,211.3978,274.9624,209.6200667
2046,146,218.132,283.72014,215.9507133
2047,149.5,224.8662,292.47788,222.28136
2048,153,231.6004,301.23562,228.6120067
2049,156.5,238.3346,309.99336,234.9426533
2050,160,245.0688,318.7511,241.2733
