scenario,iso3c,entity,category,date,primapHist
HISTTP,ABW,CO2,M.0.EL,1850,0
HISTTP,ABW,CO2,M.0.EL,1851,0
HISTTP,ABW,CO2,M.0.EL,1852,0
HISTTP,ABW,CO2,M.0.EL,1853,0
HISTTP,ABW,CO2,M.0.EL,1854,0
HISTTP,ABW,CO2,M.0.EL,1855,0
HISTTP,ABW,CO2,M.0.EL,1856,0
HISTTP,ABW,CO2,M.0.EL,1857,0
HISTTP,ABW,CO2,M.0.EL,1858,0
HISTTP,ABW,CO2,M.0.EL,1859,0
HISTTP,ABW,CO2,M.0.EL,1860,0
HISTTP,ABW,CO2,M.0.EL,1861,0
HISTTP,ABW,CO2,M.0.EL,1862,0
HISTTP,ABW,CO2,M.0.EL,1863,0
HISTTP,ABW,CO2,M.0.EL,1864,0
HISTTP,ABW,CO2,M.0.EL,1865,0
HISTTP,ABW,CO2,M.0.EL,1866,0
HISTTP,ABW,CO2,M.0.EL,1867,0
HISTTP,ABW,CO2,M.0.EL,1868,0
HISTTP,ABW,CO2,M.0.EL,1869,0
HISTTP,ABW,CO2,M.0.EL,1870,0
HISTTP,ABW,CO2,M.0.EL,1871,0
HISTTP,ABW,CO2,M.0.EL,1872,0
HISTTP,ABW,CO2,M.0.EL,1873,0
HISTTP,ABW,CO2,M.0.EL,1874,0
HISTTP,ABW,CO2,M.0.EL,1875,0
HISTTP,ABW,CO2,M.0.EL,1876,0
HISTTP,ABW,CO2,M.0.EL,1877,0
HISTTP,ABW,CO2,M.0.EL,1878,0
HISTTP,ABW,CO2,M.0.EL,1879,0
HISTTP,ABW,CO2,M.0.EL,1880,0
HISTTP,ABW,CO2,M.0.EL,1881,0
HISTTP,ABW,CO2,M.0.EL,1882,0
HISTTP,ABW,CO2,M.0.EL,1883,0
HISTTP,ABW,CO2,M.0.EL,1884,0
HISTTP,ABW,CO2,M.0.EL,1885,0
HISTTP,ABW,CO2,M.0.EL,1886,0
HISTTP,ABW,CO2,M.0.EL,1887,0
HISTTP,ABW,CO2,M.0.EL,1888,0
HISTTP,ABW,CO2,M.0.EL,1889,0
HISTTP,ABW,CO2,M.0.EL,1890,0
HISTTP,ABW,CO2,M.0.EL,1891,0
HISTTP,ABW,CO2,M.0.EL,1892,0
HISTTP,ABW,CO2,M.0.EL,1893,0
HISTTP,ABW,CO2,M.0.EL,1894,0
HISTTP,ABW,CO2,M.0.EL,1895,0
HISTTP,ABW,CO2,M.0.EL,1896,0
HISTTP,ABW,CO2,M.0.EL,1897,0
HISTTP,ABW,CO2,M.0.EL,1898,0
HISTTP,ABW,CO2,M.0.EL,1899,0
HISTTP,ABW,CO2,M.0.EL,1900,0
HISTTP,ABW,CO2,M.0.EL,1901,0
HISTTP,ABW,CO2,M.0.EL,1902,0
HISTTP,ABW,CO2,M.0.EL,1903,0
HISTTP,ABW,CO2,M.0.EL,1904,0
HISTTP,ABW,CO2,M.0.EL,1905,0
HISTTP,ABW,CO2,M.0.EL,1906,0
HISTTP,ABW,CO2,M.0.EL,1907,0
HISTTP,ABW,CO2,M.0.EL,1908,0
HISTTP,ABW,CO2,M.0.EL,1909,0
HISTTP,ABW,CO2,M.0.EL,1910,0
HISTTP,ABW,CO2,M.0.EL,1911,0
HISTTP,ABW,CO2,M.0.EL,1912,0
