iso,name,region,nrt_sth,nrt_sth_all,nrt_sth_chn,nrt_sth_bg2,nrt_sth_bg3,eu,region_eu,ctry_eu,annex1
AFG,Afghanistan,SAS,STH,SAS,SAS,SAS,SAS,OTHR,SAS,AFG,NOTANNEX1
ALB,Albania,ECS,STH,EEC,EEC,EEC,EEC,OTHR,ECS,ALB,NOTANNEX1
DZA,Algeria,MEA,STH,MEA,MEA,MEA,MEA,OTHR,MEA,DZA,NOTANNEX1
ASM,American Samoa,EAS,STH,EAS,EAS,EAS,EAS,OTHR,EAS,ASM,NOTANNEX1
AND,Andorra,ECS,NRT,NRT,NRT,NRT,NRT,OTHR,ECS,AND,NOTANNEX1
AGO,Angola,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,AGO,NOTANNEX1
ATG,Antigua and Barbuda,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,ATG,NOTANNEX1
ARG,Argentina,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,ARG,NOTANNEX1
ARM,Armenia,ECS,STH,EEC,EEC,EEC,EEC,OTHR,ECS,ARM,NOTANNEX1
ABW,Aruba,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,ABW,NOTANNEX1
AUS,Australia,EAS,NRT,NRT,NRT,NRT,NRT,OTHR,EAS,AUS,ANNEX1
AUT,Austria,ECS,NRT,NRT,NRT,NRT,EUU,EU28,EU28,EU28,ANNEX1
AZE,Azerbaijan,ECS,STH,EEC,EEC,EEC,EEC,OTHR,ECS,AZE,NOTANNEX1
BHS,Bahamas,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,BHS,NOTANNEX1
BHR,Bahrain,MEA,STH,MEA,MEA,MEA,MEA,OTHR,MEA,BHR,NOTANNEX1
BGD,Bangladesh,SAS,STH,SAS,SAS,SAS,SAS,OTHR,SAS,BGD,NOTANNEX1
BRB,Barbados,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,BRB,NOTANNEX1
BLR,Belarus,ECS,STH,EEC,EEC,EEC,EEC,OTHR,ECS,BLR,ANNEX1
BEL,Belgium,ECS,NRT,NRT,NRT,NRT,EUU,EU28,EU28,EU28,ANNEX1
BLZ,Belize,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,BLZ,NOTANNEX1
BEN,Benin,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,BEN,NOTANNEX1
BMU,Bermuda,NAC,NRT,NRT,NRT,NRT,NRT,OTHR,NAC,BMU,NOTANNEX1
BTN,Bhutan,SAS,STH,SAS,SAS,SAS,SAS,OTHR,SAS,BTN,NOTANNEX1
BOL,Bolivia,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,BOL,NOTANNEX1
BIH,Bosnia and Herzegovina,ECS,STH,EEC,EEC,EEC,EEC,OTHR,ECS,BIH,NOTANNEX1
BWA,Botswana,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,BWA,NOTANNEX1
BRA,Brazil,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,BRA,NOTANNEX1
VGB,British Virgin Islands,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,VGB,NOTANNEX1
BRN,Brunei Darussalam,EAS,STH,EAS,EAS,EAS,EAS,OTHR,EAS,BRN,NOTANNEX1
BGR,Bulgaria,ECS,NRT,NRT,NRT,NRT,EUU,EU28,EU28,EU28,ANNEX1
BFA,Burkina Faso,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,BFA,NOTANNEX1
BDI,Burundi,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,BDI,NOTANNEX1
CPV,Cabo Verde,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,CPV,NOTANNEX1
KHM,Cambodia,EAS,STH,EAS,EAS,EAS,EAS,OTHR,EAS,KHM,NOTANNEX1
CMR,Cameroon,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,CMR,NOTANNEX1
CAN,Canada,NAC,NRT,NRT,NRT,NRT,NRT,OTHR,NAC,CAN,ANNEX1
CYM,Cayman Islands,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,CYM,NOTANNEX1
CAF,Central African Republic,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,CAF,NOTANNEX1
TCD,Chad,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,TCD,NOTANNEX1
CHI,Channel Islands,ECS,NRT,NRT,NRT,NRT,NRT,OTHR,ECS,CHI,NOTANNEX1
CHL,Chile,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,CHL,NOTANNEX1
CHN,China,EAS,STH,EAS,CHN,CHN,CHN,OTHR,EAS,CHN,NOTANNEX1
COL,Colombia,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,COL,NOTANNEX1
COM,Comoros,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,COM,NOTANNEX1
COD,Democratic Republic of the Congo,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,COD,NOTANNEX1
COG,Congo,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,COG,NOTANNEX1
CRI,Costa Rica,LCN,STH,LCN,LCN,LCN,LCN,OTHR,LCN,CRI,NOTANNEX1
CIV,Côte d'Ivoire,SSF,STH,SSF,SSF,SSF,SSF,OTHR,SSF,CIV,NOTANNEX1
HRV,Croatia,ECS,NRT,NRT,NRT,NRT,EUU,EU28,EU28,EU28,ANNEX1
