country,iso3c,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,2926.769415,2996.573533,2588.236644,2610.142624,2808.423976,3011.987786,2905.454029,3272.295969,3126.868687,3134.28385,2639.359056,2772.112609,2926.416404,3357.472458,3741.307914,4478.556522,4119.037245,4117.119802,3874.854633,3865.007976,3715.615324,3639.564128,2751.518304,2644.267325,2414.562691,2574.702167,3052.263415,-467.8603122,2317.830624,2117.81968,2304.375968,2324.14381,2677.151901,3765.146366,3436.31358,4023.200056,4236.824474,4945.175516,6322.968869,8857.660165,11049.8893,15406.09294,14086.76521,13220.42637,13066.73618,10776.8232
Albania,ALB,5720.269448,6080.845087,7238.081086,6773.662921,5681.467586,5729.737738,6016.168109,6666.378923,7445.095812,8228.78475,5767.084994,7792.430856,7795.9008,8118.976623,8394.319509,8545.348179,8675.299646,8075.89985,8027.728036,9703.325816,6306.988034,5222.155048,3813.230181,3636.544409,3177.816684,3260.023773,3405.98935,2412.019443,2959.38259,4064.534404,4183.789783,5202.596536,5824.932348,6646.521561,6874.120791,7150.420614,6055.473575,6418.44964,6938.619981,6602.62236,6793.527767,7504.448034,7141.989563,7261.038798,7796.430312,7220.609959
Algeria,DZA,17482.04812,20861.95956,30106.5552,40586.52037,37639.55559,40346.39634,47463.68782,52314.65721,72193.48351,57326.94907,74980.78809,60180.37675,54612.6279,65063.83246,81656.93793,81954.38007,81687.54458,83689.65279,87928.91605,82331.89616,72745.35359,68845.22122,70256.80218,74032.37015,75616.77269,79294.59543,77903.15494,63541.61461,86157.67264,73790.45043,66452.7591,65209.15116,70589.62351,72327.01897,71744.04281,82170.39084,70967.63845,78397.69012,81828.19829,97039.54646,94448.4402,98872.24328,106286.1433,111993.156,121363.3375,128853.2829
Andorra,AND,768.2677388,679.9970941,680.134104,728.4750777,601.6716071,585.451737,600.4021953,573.8529698,662.0882368,624.7567038,581.257743,561.2890679,574.0333024,579.718547,587.4687671,621.2005184,638.8696756,662.0375259,679.8523162,706.5234783,731.8182655,728.3754257,704.1690403,662.0713655,673.9574381,689.4462486,726.2869751,526.594816,710.4992912,736.1666847,727.1385192,749.1640701,782.9007799,862.7060438,937.713692,981.4302126,983.7470235,1006.204501,988.0124529,887.5085238,882.3917191,1001.42362,964.4026335,948.3315126,917.924278,927.3686279
Angola,AGO,74351.40206,75965.08492,78607.1444,80457.30333,80371.58598,72992.87712,77255.84231,69022.96365,73257.17442,72395.71543,69688.77763,78400.51673,87585.08777,94684.43387,98466.05571,97577.81933,97647.45617,95790.34453,99317.32618,97406.41184,98763.71061,98388.76808,106828.1625,109551.3148,108782.322,107414.4974,106729.5357,78440.03058,112902.5583,101083.4759,109714.0369,112051.074,112131.2677,103209.4799,108874.0953,113825.4859,72198.30325,92339.12575,86108.37628,97689.52256,92517.2407,106001.3198,92367.88822,102977.0988,95102.5609,107779.8001
Antigua,ATG,353.4591268,355.1475939,424.6044901,469.8209821,493.73372,659.7456415,447.7660294,530.8265502,668.4095352,564.2745663,454.3094789,452.061087,598.0368392,452.4590521,583.9859004,743.9857761,766.1035443,811.489614,824.4818628,884.5535068,854.5694645,850.3426847,852.5976557,858.2356231,896.2311567,880.5893695,883.1265161,709.0656151,801.9152062,832.4424871,777.2771201,812.3855783,829.321741,895.597098,921.0287177,963.1747502,1106.39083,1163.689492,1140.453452,1077.07167,1060.956918,1065.748743,1052.658375,1068.387065,1071.854509,1074.182597
Argentina,ARG,146110.1359,143596.7564,142988.7032,142839.9248,142464.7581,141430.8966,145175.1563,145918.079,147181.9984,156104.3923,156115.2339,151363.7896,180528.7266,194700.7695,203198.9004,199049.6485,209563.0327,221039.0108,224013.3501,207440.9761,215779.5244,239336.3966,243169.8905,238843.5746,240077.306,228126.5174,233053.9755,215198.8056,232270.3618,236969.3438,229318.2153,221030.6002,178227.6536,193124.1336,215050.3184,220934.5746,248360.7242,246596.6153,263760.0215,257201.3425,261742.1484,263477.9977,274752.2299,276262.9208,286127.0402,291844.2376
Armenia,ARM,10910.79328,11311.85109,11116.59674,10845.27486,10797.74172,11015.79419,11537.45774,11728.52346,12545.08461,12689.94525,13046.83613,13519.91515,14056.03,14665.98295,15653.00615,16995.78557,17257.55497,19093.94028,20464.65987,21343.05889,30186.80049,21932.16704,21114.40068,12221.97234,11139.97944,11325.96354,8483.102206,7157.2863,6455.929997,4833.199903,3663.179877,3707.513609,3369.550293,3863.380051,4147.659123,4855.437782,5036.783506,5915.527367,6714.308291,5674.658289,5533.577631,5901.331078,6495.711139,6304.753561,6378.088924,5875.475536
Aruba,ABW,2630.128056,2268.064543,2195.242825,2408.579829,2108.773684,1632.675519,3095.52593,1804.805301,1676.024166,1688.303608,1677.319418,1596.902955,1769.53244,1175.251303,2193.046948,2535.735466,701.8120423,993.1604609,1224.577145,1358.653927,2153.242172,2254.167943,1879.807116,1995.585735,2002.425951,1983.273944,2063.207241,1882.166628,2098.782121,2139.772318,2457.152443,2523.363695,2607.403398,2767.063298,2716.763485,2794.579845,2771.669032,2870.123262,2746.414769,2781.213561,2707.842456,2912.524759,2103.641965,1750.545149,1744.074443,1726.497996
Australia,AUS,324039.405,256766.8307,244450.142,252215.4702,251838.2141,246337.3761,259950.182,264413.8593,117345.4433,215107.1186,239324.3145,261859.1916,254042.0886,245128.5734,259241.0024,251778.4391,248765.8869,269701.9735,283735.6859,307231.0178,287928.2979,276184.7987,270918.2513,271393.4963,281289.2148,292403.5023,310206.2076,245035.6741,323119.2554,329978.6719,331816.8863,361519.8769,375962.7413,408567.2276,443185.9059,426739.542,391996.7604,412620.2845,382546.2355,392531.0141,401234.8672,363027.5014,368618.3031,358701.842,355867.9976,360122.7666
