country,iso3c,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,AFG,2220,2450,2100,2200,2490,2710,2600,2990,2740,2810,2340,2470,2590,3000,3360,4070,3700,3700,3450,3370,3210,3010,1960,1900,1810,1760,1700,1620,1560,1340,1330,1380,1630,1760,1530,1910,2240,2860,4800,7360,9060,12800,11400,10600,10400,8120
Albania,ALB,5040,5570,6810,6430,5420,5480,5760,6460,7190,8230,5740,7890,7750,8000,8230,8280,8470,7850,7740,9460,5980,4710,2740,2580,2240,2340,2250,1760,1990,3220,3240,4210,4770,5320,5230,5310,3880,3930,4370,4350,4580,5100,4780,4940,5600,4940
Algeria,DZA,16000,19700,29400,39400,33000,33100,40200,42900,63600,46700,67600,47500,41200,54200,72900,74800,78500,86400,86300,82100,78800,81700,82800,84800,88600,97400,98900,89700,109000,94500,90700,86700,92600,94200,91100,110000,96200,105000,105000,117000,115000,123000,132000,137000,148000,157000
Andorra,AND,359,362,372,471,384,365,388,384,393,412,394,376,361,358,359,365,366,369,369,371,400,388,388,391,388,406,435,446,472,494,505,495,503,506,532,547,507,500,500,478,478,470,466,455,440,461
Angola,AGO,80900,82500,85700,88200,90300,84300,91200,82200,87800,88600,85300,97400,105000,113000,119000,114000,112000,113000,117000,114000,116000,113000,124000,130000,138000,156000,155000,144000,156000,155000,154000,154000,155000,134000,144000,151000,97500,117000,103000,106000,110000,132000,112000,122000,109000,125000
Antigua,ATG,511,474,422,378,476,754,450,512,538,454,190,154,341,132,194,297,297,322,333,333,330,316,313,321,318,327,346,362,374,386,402,406,429,463,482,490,599,625,637,667,682,585,597,598,606,628
Argentina,ARG,144000,142000,141000,143000,144000,143000,148000,149000,150000,158000,156000,150000,178000,187000,195000,194000,203000,214000,221000,218000,216000,221000,210000,204000,207000,207000,209000,208000,207000,211000,207000,201000,192000,201000,221000,226000,274000,267000,286000,278000,279000,281000,287000,283000,295000,302000
Armenia,ARM,8330,8620,8850,8800,9460,9900,10300,10600,11000,11200,11500,11800,12000,12300,12500,13100,12900,13800,14300,14200,22500,20400,22700,12500,11600,11700,8710,8300,6870,4860,3520,3600,3160,3520,3770,4460,4520,5290,5950,4870,4830,5300,6130,5920,5960,5250
Aruba,ABW,2650,2310,2240,2540,2250,1640,3470,1830,1560,1640,1680,1600,1790,937,2290,2680,214,481,646,683,1670,1720,1500,1640,1660,1710,1740,1790,1840,1860,2430,2460,2490,2610,2670,2770,2770,2880,2720,2690,2570,2560,1410,921,933,967
Australia,AUS,365000,284000,262000,253000,244000,240000,233000,240000,250000,250000,262000,275000,277000,265000,274000,277000,272000,284000,286000,307000,291000,277000,282000,287000,291000,303000,310000,318000,332000,341000,348000,403000,406000,416000,426000,430000,393000,400000,405000,409000,407000,335000,338000,330000,324000,333000
