country,iso3c,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,AFG,2850,2640,1600,1530,1410,1360,1290,1210,1150,935,934,996,1250,1380,1130,1510,1820,2430,4360,6930,8640,12400,11000,10200,11200,11700,13200,13600,13755.92134,14475.76436,15334.11223,16344.64687
Albania,ALB,3950,5570,3360,3270,3520,3460,3360,3470,4210,4540,3210,3670,3870,4120,4390,4270,4180,4520,4600,5010,5260,5960,5560,5730,6470,5930,6160,6260,6424.834076,6545.845049,6599.435016,6642.829586
Algeria,DZA,78500,81200,82300,84300,88000,96700,98100,89000,109000,93900,89900,86300,92100,93700,90600,109000,103000,111000,112000,123000,121000,123000,131000,135000,146000,152000,151000,151000,162947.8491,168683.9189,174100.2359,178351.2111
Andorra,AND,432,439,447,457,461,488,518,530,557,579,591,592,599,600,627,642,611,607,605,583,586,556,550,544,530,532,538,541,541,541,541,541
Angola,AGO,5130,5110,5210,5800,3910,11000,10500,7400,7320,9190,9570,9730,12700,9050,18800,19100,22200,25100,25600,27600,28900,30200,33300,32500,34600,36700,38000,38800,38407.8407,39045.47502,39950.03289,41187.73176
Antigua,ATG,331,316,314,322,320,328,347,363,375,387,403,407,430,464,483,491,506,533,545,575,590,580,592,593,608,620,637,634,681.829501,699.1640114,716.0075275,732.1882013
Argentina,ARG,111000,119000,123000,123000,129000,124000,134000,138000,143000,144000,149000,138000,132000,140000,153000,160000,171000,184000,188000,182000,190000,199000,198000,203000,203000,206000,206000,204000,203642.2971,199793.3321,198350.0238,200422.3747
Armenia,ARM,21800,20400,25200,10100,9940,11000,7560,7850,6600,4680,3340,3400,3000,3360,3620,4290,4340,5140,5760,4680,4670,5450,6300,6060,6100,6700,6700,6570,7273.597003,7877.274987,8423.436339,8928.115586
Aruba,ABW,1680,1720,1500,1640,1660,1710,1740,1790,1850,1860,2430,2460,2490,2620,2670,2780,2770,2880,2720,2690,2570,2560,1410,922,934,953,980,976,1766.425416,1778.372812,2050.498653,2095.660211
Australia,AUS,279000,281000,286000,290000,295000,306000,313000,322000,336000,345000,351000,359000,363000,371000,384000,388000,394000,402000,406000,409000,408000,405000,408000,399000,394000,404000,414000,418000,415066.8435,414257.5505,414415.4329,415056.7469
Austria,AUT,63800,67200,61500,61900,62300,65400,69000,69000,68600,66900,67600,71600,73500,79200,79100,80800,78600,75800,74900,68600,73200,71200,68800,69200,65500,67800,68300,71000,72843.60448,73291.57249,73893.62157,74277.71589
Azerbaijan,AZE,57100,53000,46700,39400,34500,36800,30200,29200,28800,28200,29300,29200,29600,31400,33400,36200,39600,30200,36000,30500,30100,31700,33200,36500,38700,42300,42000,41200,43943.8707,44992.25353,46133.78635,47257.05955
Bahamas,BHS,2270,2110,2130,2040,2040,2030,2030,1730,2050,2050,2050,1960,1970,1920,2130,2150,2080,2110,1920,2070,2090,2310,2420,3260,2870,2930,3010,3000,2918.998265,2993.174198,3066.947472,3141.452158
Bahrain,BHR,13600,13100,12200,16300,16400,16500,17200,19100,20100,19900,20400,15800,17600,18200,19200,21300,21200,29200,32100,30600,31500,30900,28900,33700,33800,27000,26600,26600,30283.52344,29251.63298,28345.62106,27748.3501
Bangladesh,BGD,14600,14900,16700,16500,18000,22700,24700,26100,26000,28000,30500,35300,36600,38900,41100,43100,47100,48200,50800,53300,58100,61000,64900,67000,71500,83700,84800,88400,98000.24156,105918.497,114107.5384,122778.4972
Barbados,BRB,1080,1220,988,1120,761,838,860,907,1150,1220,1200,1230,1230,1270,1290,1350,1360,1380,1620,1610,1470,1530,1470,1450,1270,1300,1330,1330,1308.924277,1307.822818,1322.149763,1356.177594
Belarus,BLR,105000,97900,91000,78500,65200,58500,59700,63000,59800,57400,55800,56000,56100,57500,63000,64400,69100,66500,68700,64400,68400,65500,66400,68300,67900,63700,65600,67600,64840.70368,64935.62027,65764.0292,66610.78527
Belgium,BEL,122000,125000,124000,123000,126000,127000,131000,125000,131000,125000,127000,127000,127000,129000,130000,126000,125000,122000,122000,109000,115000,105000,103000,103000,97100,101000,99600,98800,96298.17739,94773.71699,93286.26982,91754.61056
Belize,BLZ,315,363,359,381,378,381,312,393,375,353,401,452,437,438,398,427,449,482,442,592,541,607,482,519,501,627,654,649,639.0374807,649.0700715,659.7490615,671.315773
Benin,BEN,716,828,903,1130,1260,1320,1280,1250,1240,1600,1630,1840,2110,2390,2540,2430,3780,4380,4320,4570,5010,5190,5370,5720,6230,6510,6920,7250,7621.263911,7960.557139,8298.675987,8636.997473
Bermuda,BMU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,150,198,228,214,228,301,348,450,455,459,460,455,502,462,393,477,472,475,536,717,837,1030,1120,1200,1290,1260,1370,1410,1594.669453,1687.704853,1777.6384,1879.451812
Bolivia,BOL,5430,5740,6410,7020,8190,8780,8910,9150,8970,7920,7830,7050,9060,9740,9770,10900,13500,11100,11900,12600,13700,14500,16900,17000,18400,17100,17900,18100,19876.6221,20600.45633,21332.94115,22070.22048
