iso3c,1850,1851,1852,1853,1854,1855,1856,1857,1858,1859,1860,1861,1862,1863,1864,1865,1866,1867,1868,1869,1870,1871,1872,1873,1874,1875,1876,1877,1878,1879,1880,1881,1882,1883,1884,1885,1886,1887,1888,1889,1890,1891,1892,1893,1894,1895,1896,1897,1898,1899,1900,1901,1902,1903,1904,1905,1906,1907,1908,1909,1910,1911,1912,1913,1914,1915,1916,1917,1918,1919,1920,1921,1922,1923,1924,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59063,59440,59840,60243,60528,60657,60586,60366,60103,59980,60096,60567,61345,62201,62836,63026,62644,61833,61079,61032,62149,64622,68235,72504,76700,80324,83200,85451,87277,89005,90853,92898,94992,97017,98737,100031,100832,101220,101353,101453,101669,102053,102577,103187,103795,104341
AFG,3810047,3826140,3842299,3858524,3874815,3891173,3907598,3924089,3940648,3957274,3973968,3991172,4008889,4027125,4045883,4065170,4084989,4105346,4126245,4147692,4169690,4192245,4215362,4236341,4260730,4285744,4311388,4336107,4363439,4391478,4419695,4447479,4476050,4504802,4533190,4562304,4591602,4620608,4650274,4680128,4710171,4740404,4770828,4801444,4832253,4863258,4894458,4925855,4957450,4989245,5021241,5053439,5085403,5118005,5150814,5183829,5217053,5249854,5283495,5317347,5351413,5385509,5420004,5459010,5502589,5550805,5599440,5648497,5704092,5758692,5813814,5869464,5925647,5982368,6039631,6097443,6155808,6214731,6274219,6334276,6394908,6456120,6517918,6580308,6643295,6706885,6771083,6835896,6901330,6967389,7034081,7101412,7169387,7238012,7307295,7377241,7447856,7519147,7591120,7663783,7752118,7839510,7934980,8038596,8150447,8270581,8399030,8535807,8680946,8834445,8996351,9166764,9345868,9533954,9731361,9938414,10152331,10372630,10604346,10854428,11126123,11417825,11721940,12027822,12321541,12590286,12840299,13067538,13237734,13306695,13248370,13053954,12749645,12389269,12047115,11783050,11601041,11502761,11540888,11777609,12249114,12993657,13981231,15095099,16172719,17099541,17822884,18381605,18863999,19403676,20093756,20966463,21979923,23064851,24118979,25070798,25893450,26616792,27294031,28004331,28803167,29708599,30696958,31731688,32758020,33736494
AGO,1949329,1966272,1983358,2000589,2017966,2035489,2053161,2070982,2088953,2107076,2125353,2143784,2162370,2181114,2200016,2219077,2238299,2257683,2277231,2296944,2316823,2336870,2357086,2377056,2397611,2418338,2439241,2459932,2481185,2502616,2524229,2545667,2567641,2589801,2611827,2634358,2657079,2679710,2702812,2726109,2749602,2773292,2797181,2821271,2845563,2870060,2894762,2919672,2944791,2970120,2995663,3021420,3047127,3073315,3099724,3126354,3153208,3179897,3207199,3234731,3262493,3290373,3318601,3347066,3375770,3404714,3433900,3463331,3487015,3512369,3537908,3563632,3589544,3615643,3641933,3668414,3695087,3721954,3749017,3776276,3803733,3831391,3859249,3887310,3915574,3944045,3972722,4001608,4030704,4060011,4093865,4132344,4175527,4219161,4263251,4307801,4352818,4398304,4444266,4490709,4548023,4659333,4774561,4890469,5004763,5116071,5224003,5329099,5432717,5536779,5643182,5753024,5866061,5980417,6093321,6203299,6309770,6414995,6523791,6642632,6776381,6927269,7094834,7277960,7474338,7682479,7900997,8130988,8376147,8641521,8929900,9244507,9582156,9931562,10277321,10609042,10921037,11218268,11513968,11827237,12171441,12553446,12968345,13403734,13841301,14268994,14682284,15088981,15504318,15949766,16440924,16983266,17572649,18203369,18865716,19552542,20262399,20997687,21759420,22549547,23369131,24218565,25096150,25998340,26920466,27859305
ALB,506889,510780,514821,519014,523361,527865,532526,537348,542333,547483,552800,558285,563821,569410,575051,580746,586494,592297,598154,604067,610036,616061,622143,628113,634308,640561,646873,653080,659507,665994,672545,679004,685682,692426,699096,705996,712988,719888,727055,734321,741690,749160,756735,764415,772202,780097,788036,795992,803964,811950,819951,827966,836031,844038,852043,860044,868121,876112,884339,892676,901124,909604,918312,925945,932486,937916,943378,948871,953764,958841,963958,969107,974278,979450,984276,989448,994619,1000135,1005306,1010478,1015994,1021510,1027026,1032197,1037713,1043229,1052538,1063225,1082532,1102527,1123213,1139416,1150104,1157688,1164928,1176994,1195267,1213883,1232845,1246636,1263174,1287497,1316089,1348099,1382878,1419970,1459089,1500149,1543222,1588484,1636056,1685900,1737644,1790534,1843593,1896125,1947785,1998693,2049151,2099653,2135479,2187853,2243126,2296752,2350124,2404831,2458526,2513546,2566266,2617832,2671997,2726056,2784278,2843960,2904429,2964762,3022635,3083605,3142336,3227943,3286542,3266790,3247039,3227287,3207536,3187784,3168033,3148281,3128530,3108778,3089027,3060173,3051010,3039616,3026939,3011487,2992547,2970017,2947314,2927519,2913021,2905195,2900401,2895092,2889104,2880703
AND,3230,3250,3270,3290,3311,3331,3352,3373,3393,3414,3435,3457,3478,3500,3521,3543,3565,3587,3609,3631,3654,3676,3699,3721,3744,3768,3791,3814,3837,3861,3885,3908,3933,3957,3981,4005,4030,4055,4080,4105,4130,4156,4182,4207,4233,4260,4286,4312,4339,4366,4393,4420,4447,4474,4502,4530,4558,4585,4614,4642,4671,4699,4728,4758,4787,4817,4846,4876,4909,4941,4973,5006,5038,5071,5105,5138,5172,5206,5240,5274,5308,5343,5378,5413,5449,5484,5520,5556,5593,5629,5666,5703,5741,5778,5816,5854,5892,5931,5970,6009,6196,6689,7247,7865,8525,9232,9989,10779,11615,12498,13411,14375,15370,16412,17469,18549,19647,20758,21890,23058,24276,25559,26892,28232,29520,30705,31777,32771,33737,34818,36067,37500,39114,40867,42706,44600,46517,48455,50434,52448,54509,56671,58888,60971,62677,63850,64360,64327,64142,64370,65390,67341,70049,73182,76244,78867,80991,82683,83861,84462,84449,83751,82431,80788,79223,78014
ARB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,122398374,125807419,129269375,132863416,136696761,140843298,145332378,150133054,155183724,160392488,165689490,171051950,176490084,182005827,187610756,193310301,199093767,204942549,210844771,216787402,224735446,230829868,235037179,241286091,247435930,255029671,260843462,266575075,272235146,277962869,283832016,289850357,296026575,302434519,309162029,316264728,323773264,331653797,339825483,348145094,356508908,364895878,373306993,381702086,390043028,398304960
ARE,40153,40160,40167,40174,40180,40187,40194,40201,40208,40215,40222,40239,40267,40307,40357,40417,40489,40572,40666,40772,40888,41016,41156,41252,41419,41597,41789,41968,42195,42438,42682,42923,43170,43418,43664,43915,44168,44419,44674,44930,45189,45448,45709,45972,46236,46502,46769,47037,47308,47579,47853,48128,48402,48680,48959,49241,49523,49804,50090,50378,50668,50958,51250,51594,51989,52437,52888,53343,53790,54244,54702,55163,55629,56098,56572,57049,57530,58016,58505,58999,59497,59999,60505,61015,61530,62049,62573,63101,63633,64170,64712,65258,65808,66363,66923,67488,68058,68632,69211,69795,69588,67320,69063,72630,76460,79578,81682,83068,84559,87362,92634,101078,112472,125566,138529,150362,160481,170283,183194,203820,235499,278808,332760,397174,471364,554324,646943,748117,852262,952040,1042384,1120900,1189545,1253060,1318478,1391052,1472218,1560718,1655849,1756043,1860174,1970026,2086639,2207405,2328686,2448820,2571020,2700010,2838145,2988162,3154925,3326032,3507232,3741932,4087931,4579562,5242032,6044067,6894278,7666393,8270684,8672475,8900453,9006263,9070867,9154302
ARG,1113189,1140633,1168776,1197636,1227232,1257582,1288705,1320621,1353351,1386914,1421333,1457248,1494694,1533731,1574418,1616818,1660998,1707023,1754964,1804894,1856886,1911020,1967375,2017127,2078055,2141528,2207644,2268568,2340590,2415669,2493156,2566334,2648654,2733615,2814774,2905434,2999385,3089624,3190089,3294260,3402273,3514267,3630387,3750784,3875613,4005036,4141299,4284294,4434314,4591641,4756635,4929644,5094954,5285563,5485838,5696234,5914645,6121229,6355959,6599705,6852669,7108577,7381312,7644045,7878423,8069762,8233077,8382047,8530833,8693347,8884894,9117153,9399467,9720491,10050859,10366210,10670216,10978559,11292242,11602921,11898250,12168551,12411154,12633735,12847974,13060544,13279454,13506374,13747976,13974562,14200814,14419057,14655320,14898257,15149203,15408492,15679460,15985468,16346870,16750098,17150336,17507130,17866096,18224150,18579037,18929346,19274528,19614847,19951323,20285531,20619075,20953077,21287682,21621840,21953929,22283390,22608748,22932203,23261278,23605987,23973058,24366439,24782949,25213388,25644506,26066975,26477152,26878565,27277741,27684534,28105888,28543364,28993987,29454738,29920904,30388783,30857244,31326473,31795517,32263561,32729739,33193918,33655151,34110917,34558115,34994814,35419682,35833969,36241590,36648068,37057452,37471509,37889370,38309379,38728696,39145488,39558890,39970224,40382389,40799407,41223889,41656879,42096739,42539925,42981515,43417765
ARM,544302,549257,554257,559302,564393,569531,574715,579947,585226,590553,595928,601353,606827,612351,617925,623550,629226,634953,640733,646565,652451,658390,664383,670245,676346,682502,688715,694811,701135,707517,713958,720297,726853,733470,740002,746738,753536,760268,767189,774172,781219,788330,795506,802747,810054,817428,824868,832377,839954,847599,855315,863100,870836,878763,886762,894834,902979,911021,919314,927682,936126,944595,953193,961869,970625,979460,988376,997372,1006536,1015762,1025073,1034470,1043952,1053521,1063179,1072924,1082759,1092684,1102700,1112808,1123009,1133303,1143691,1154175,1164755,1175431,1186206,1197079,1208052,1219126,1230301,1241579,1252960,1264445,1276035,1287732,1299536,1311448,1323470,1335601,1353510,1381872,1418276,1461424,1510171,1563505,1620593,1680714,1743303,1807917,1874120,1941491,2009526,2077575,2144998,2211316,2276031,2339124,2401140,2462925,2525065,2587706,2650484,2712781,2773747,2832757,2889579,2944379,2997411,3049105,3099751,3148092,3193686,3238594,3285595,3335935,3392256,3451942,3504651,3536469,3538165,3505251,3442810,3363098,3283660,3217342,3168215,3133086,3108684,3089017,3069588,3050655,3033897,3017806,3000612,2981259,2958500,2933056,2908220,2888584,2877311,2875581,2881922,2893509,2906220,2916950
ASM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27292,27916,28492,29014,29488,29932,30321,30689,31102,31673,32457,33493,34738,36160,37688,39241,40837,42450,44047,45593,47038,48375,49593,50720,51803,52868,53929,54941,55901,56770,57521,58175,58731,59117,59264,59118,58650,57903,57030,56227,55637,55320,55230,55307,55437,55537
