startDate,scenario,labelNS,northSouth,date,cumCO2,cumCO2_lwr,cumCO2_upr,fairShare350,fairShare15C,fairShare2C,overshoot15C,overshoot15Clwr,overshoot15Cupr,overshootFairShare350,overshootFairShare15C,overshootFairShare2C
1850,BAU,Global North,NRT,2020,1103660886.6944072,1102941501.7931035,1104380271.595711,165497162.93400496,434515128.52306414,575308717.7602508,2.54,2.54,2.54,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2021,1117455444.153527,1115679205.0631595,1119231683.2438946,165497162.93400496,434515128.52306414,575308717.7602508,2.57,2.57,2.58,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2022,1131277929.400615,1128201829.9534938,1134354028.8477364,165497162.93400496,434515128.52306414,575308717.7602508,2.6,2.6,2.61,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2023,1145127906.4781773,1140538324.510742,1149717488.4456127,165497162.93400496,434515128.52306414,575308717.7602508,2.64,2.62,2.65,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2024,1159004427.73243,1152714353.5258222,1165294501.9390378,165497162.93400496,434515128.52306414,575308717.7602508,2.67,2.65,2.68,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2025,1172906791.9953325,1164743670.5183856,1181069913.472279,165497162.93400496,434515128.52306414,575308717.7602508,2.7,2.68,2.72,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2026,1186834199.7624462,1176638107.6049337,1197030291.9199588,165497162.93400496,434515128.52306414,575308717.7602508,2.73,2.71,2.75,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2027,1200785957.8398595,1188405745.9715328,1213166169.708186,165497162.93400496,434515128.52306414,575308717.7602508,2.76,2.74,2.79,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2028,1214761376.6001358,1200053363.8871584,1229469389.313113,165497162.93400496,434515128.52306414,575308717.7602508,2.8,2.76,2.83,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2029,1228759823.595572,1211586176.914908,1245933470.2762358,165497162.93400496,434515128.52306414,575308717.7602508,2.83,2.79,2.87,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2030,1242780691.364999,1223008563.7058442,1262552819.0241537,165497162.93400496,434515128.52306414,575308717.7602508,2.86,2.81,2.91,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2031,1256823409.862898,1234324103.852515,1279322715.8732812,165497162.93400496,434515128.52306414,575308717.7602508,2.89,2.84,2.94,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2032,1270887435.1425571,1245535836.43688,1296239033.8482344,165497162.93400496,434515128.52306414,575308717.7602508,2.92,2.87,2.98,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2033,1284972250.9739273,1256646328.5368981,1313298173.4109566,165497162.93400496,434515128.52306414,575308717.7602508,2.96,2.89,3.02,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2034,1299077364.069935,1267657786.8551295,1330496941.2847407,165497162.93400496,434515128.52306414,575308717.7602508,2.99,2.92,3.06,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2035,1313202303.2084188,1278572111.1365786,1347832495.2802594,165497162.93400496,434515128.52306414,575308717.7602508,3.02,2.94,3.1,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2036,1327346616.7600887,1289390951.5435455,1365302281.9766314,165497162.93400496,434515128.52306414,575308717.7602508,3.05,2.97,3.14,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2037,1341509871.4847026,1300115745.4796753,1382903997.48973,165497162.93400496,434515128.52306414,575308717.7602508,3.09,2.99,3.18,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2038,1355691651.017356,1310747751.2642596,1400635550.7704525,165497162.93400496,434515128.52306414,575308717.7602508,3.12,3.02,3.22,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2039,1369891554.8257184,1321288073.159478,1418495036.4919589,165497162.93400496,434515128.52306414,575308717.7602508,3.15,3.04,3.26,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2040,1384109197.1723504,1331737683.0007043,1436480711.3439963,165497162.93400496,434515128.52306414,575308717.7602508,3.19,3.06,3.31,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2041,1398344206.28497,1342097437.4944944,1454590975.0754454,165497162.93400496,434515128.52306414,575308717.7602508,3.22,3.09,3.35,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2042,1412596223.5895116,1352368092.9672933,1472824354.21173,165497162.93400496,434515128.52306414,575308717.7602508,3.25,3.11,3.39,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2043,1426864903.0520031,1362550317.6213908,1491179488.4826155,165497162.93400496,434515128.52306414,575308717.7602508,3.28,3.14,3.43,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2044,1441149910.579431,1372644702.0115135,1509655119.1473486,165497162.93400496,434515128.52306414,575308717.7602508,3.32,3.16,3.47,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2045,1455450923.485436,1382651767.9459054,1528250079.0249662,165497162.93400496,434515128.52306414,575308717.7602508,3.35,3.18,3.52,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2046,1469767630.0010953,1392571976.1534815,1546963283.848709,165497162.93400496,434515128.52306414,575308717.7602508,3.38,3.2,3.56,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2047,1484099728.8278995,1402405732.8930984,1565793724.7627008,165497162.93400496,434515128.52306414,575308717.7602508,3.42,3.23,3.6,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2048,1498446928.723718,1412153395.6952739,1584740461.7521617,165497162.93400496,434515128.52306414,575308717.7602508,3.45,3.25,3.65,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2049,1512808948.1180267,1421815278.3643684,1603802617.8716853,165497162.93400496,434515128.52306414,575308717.7602508,3.48,3.27,3.69,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global North,NRT,2050,1527185514.7514732,1431391655.3589633,1622979374.1439831,165497162.93400496,434515128.52306414,575308717.7602508,3.51,3.29,3.74,0.38087779244082254,1,1.3240245966020796
1850,BAU,Global South,STH,2020,595974864.481743,595070156.1769602,596879572.7865257,628362540.795686,1649774686.9642324,2184342264.39214,0.36,0.36,0.36,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2021,618877696.2614173,616605716.6585816,621149675.8642528,628362540.795686,1649774686.9642324,2184342264.39214,0.38,0.37,0.38,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2022,642527606.5570685,638438199.038307,646617014.0758299,628362540.795686,1649774686.9642324,2184342264.39214,0.39,0.39,0.39,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2023,666894148.8761165,660529118.6185498,673259179.1336832,628362540.795686,1649774686.9642324,2184342264.39214,0.4,0.4,0.41,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2024,691999153.8203974,682882358.4750223,701115949.1657726,628362540.795686,1649774686.9642324,2184342264.39214,0.42,0.41,0.42,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2025,717819539.0532383,705460857.861951,730178220.2445257,628362540.795686,1649774686.9642324,2184342264.39214,0.44,0.43,0.44,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2026,744375434.1642635,728266490.464331,760484377.8641958,628362540.795686,1649774686.9642324,2184342264.39214,0.45,0.44,0.46,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2027,771649624.1496432,751266007.7327564,792033240.56653,628362540.795686,1649774686.9642324,2184342264.39214,0.47,0.46,0.48,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2028,799655665.2252597,774454473.7868944,824856856.663625,628362540.795686,1649774686.9642324,2184342264.39214,0.48,0.47,0.5,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2029,828380877.1057802,797802965.3772085,858958788.834352,628362540.795686,1649774686.9642324,2184342264.39214,0.5,0.48,0.52,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2030,857836100.3881309,821304481.4902375,894367719.2860243,628362540.795686,1649774686.9642324,2184342264.39214,0.52,0.5,0.54,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2031,888011912.2602109,844933153.5702988,931090670.9501231,628362540.795686,1649774686.9642324,2184342264.39214,0.54,0.51,0.56,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2032,918916098.8822768,868679293.8209094,969152903.943644,628362540.795686,1649774686.9642324,2184342264.39214,0.56,0.53,0.59,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2033,950541656.9065915,892519475.2964537,1008563838.5167294,628362540.795686,1649774686.9642324,2184342264.39214,0.58,0.54,0.61,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2034,982894524.0327455,916442493.031156,1049346555.0343349,628362540.795686,1649774686.9642324,2184342264.39214,0.6,0.56,0.64,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2035,1015969527.7905953,940426741.3012738,1091512314.2799168,628362540.795686,1649774686.9642324,2184342264.39214,0.62,0.57,0.66,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2036,1049771039.8489956,964459652.8194126,1135082426.8785784,628362540.795686,1649774686.9642324,2184342264.39214,0.64,0.58,0.69,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2037,1084295187.9876728,988520900.9358045,1180069475.0395412,628362540.795686,1649774686.9642324,2184342264.39214,0.66,0.6,0.72,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2038,1119545255.8033352,1012596933.594845,1226493578.0118256,628362540.795686,1649774686.9642324,2184342264.39214,0.68,0.61,0.74,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2039,1155518380.022406,1036668361.9958353,1274368398.0489771,628362540.795686,1649774686.9642324,2184342264.39214,0.7,0.63,0.77,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2040,1192217002.0273,1060720797.6585766,1323713206.3960233,628362540.795686,1649774686.9642324,2184342264.39214,0.72,0.64,0.8,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2041,1229638977.4626877,1084735441.389896,1374542513.5354793,628362540.795686,1649774686.9642324,2184342264.39214,0.75,0.66,0.83,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2042,1267786130.460503,1108697195.7746978,1426875065.1463084,628362540.795686,1649774686.9642324,2184342264.39214,0.77,0.67,0.86,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2043,1306656867.1390762,1132587614.7186575,1480726119.559495,628362540.795686,1649774686.9642324,2184342264.39214,0.79,0.69,0.9,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2044,1346252551.6034746,1156390957.0904577,1536114146.1164916,628362540.795686,1649774686.9642324,2184342264.39214,0.82,0.7,0.93,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2045,1386571990.4278333,1180088903.2568011,1593055077.5988655,628362540.795686,1649774686.9642324,2184342264.39214,0.84,0.72,0.97,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2046,1427616202.2644737,1203665087.5927422,1651567316.9362051,628362540.795686,1649774686.9642324,2184342264.39214,0.87,0.73,1,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2047,1469384295.338229,1227101135.1151161,1711667455.5613418,628362540.795686,1649774686.9642324,2184342264.39214,0.89,0.74,1.04,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2048,1511877033.6894772,1250380049.953852,1773374017.4251025,628362540.795686,1649774686.9642324,2184342264.39214,0.92,0.76,1.07,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2049,1555093749.3930485,1273483233.7738032,1836704265.0122938,628362540.795686,1649774686.9642324,2184342264.39214,0.94,0.77,1.11,0.3808777924408226,1,1.3240245966020796
1850,BAU,Global South,STH,2050,1599035013.9213283,1296393020.8580263,1901677006.9846303,628362540.795686,1649774686.9642324,2184342264.39214,0.97,0.79,1.15,0.3808777924408226,1,1.3240245966020796
1850,Historical,Global North,NRT,1850,209088.889,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1851,421076.768,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1852,643461.399,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1853,876302.055,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1854,1150396.785,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1855,1430273.578,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1856,1728791.412,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1857,2030217.295,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1858,2335503.142,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1859,2658945.779,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1860,3013150.866,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1861,3387267.214,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1862,3768438.643,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1863,4174183.352,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1864,4610998.552,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1865,5075038.333,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
1850,Historical,Global North,NRT,1866,5552349.394,0,0,165497162.93400496,434515128.52306414,575308717.7602508,0.01,0,0,0.38087779244082254,1,1.3240245966020796
