startDate,scenario,date,region,overshoot,grp
1850,BAU,2020,USA,348509409.33262885,1.5C
1850,BAU,2020,EU and UK,192640634.17141095,1.5C
1850,BAU,2020,Rest of global North,129588235.67208396,1.5C
1850,BAU,2020,Rest of global South overshoot,55438437.215402454,1.5C
1850,BAU,2021,USA,354477026.73407966,1.5C
1850,BAU,2021,EU and UK,196463444.44249752,1.5C
1850,BAU,2021,Rest of global North,133410338.97146423,1.5C
1850,BAU,2021,Rest of global South overshoot,58481140.94370175,1.5C
1850,BAU,2022,USA,360463181.0119873,1.5C
1850,BAU,2022,EU and UK,200312005.56294602,1.5C
1850,BAU,2022,Rest of global North,137227474.72735542,1.5C
1850,BAU,2022,Rest of global South overshoot,61612683.19040433,1.5C
1850,BAU,2023,USA,366467282.7057852,1.5C
1850,BAU,2023,EU and UK,204226087.64194307,1.5C
1850,BAU,2023,Rest of global North,141039939.94248077,1.5C
1850,BAU,2023,Rest of global South overshoot,64786635.599609986,1.5C
1850,BAU,2024,USA,372488761.0993677,1.5C
1850,BAU,2024,EU and UK,208188368.08526748,1.5C
1850,BAU,2024,Rest of global North,144847576.94899875,1.5C
1850,BAU,2024,Rest of global South overshoot,68137362.98629017,1.5C
1850,BAU,2025,USA,378527063.62502855,1.5C
1850,BAU,2025,EU and UK,212163371.60958496,1.5C
1850,BAU,2025,Rest of global North,148650469.44697773,1.5C
1850,BAU,2025,Rest of global South overshoot,72089954.21872397,1.5C
1850,BAU,2026,USA,384581655.286354,1.5C
1850,BAU,2026,EU and UK,216150878.1401645,1.5C
1850,BAU,2026,Rest of global North,152448573.00312442,1.5C
1850,BAU,2026,Rest of global South overshoot,76111328.17481925,1.5C
1850,BAU,2027,USA,390652018.09946674,1.5C
1850,BAU,2027,EU and UK,220150688.87896714,1.5C
1850,BAU,2027,Rest of global North,156241911.20544288,1.5C
1850,BAU,2027,Rest of global South overshoot,80209559.08217213,1.5C
1850,BAU,2028,USA,396737650.55203843,1.5C
1850,BAU,2028,EU and UK,224162628.23289022,1.5C
1850,BAU,2028,Rest of global North,160030471.53192776,1.5C
1850,BAU,2028,Rest of global South overshoot,84395679.64752467,1.5C
1850,BAU,2029,USA,402838067.0795055,1.5C
1850,BAU,2029,EU and UK,228186542.67132142,1.5C
1850,BAU,2029,Rest of global North,163814260.63005197,1.5C
1850,BAU,2029,Rest of global South overshoot,88635696.87721127,1.5C
1850,BAU,2030,USA,408952797.55794024,1.5C
